Laptop,Status,Brand,Model,CPU,RAM,Storage,GPU,Screen,Touch,Final Price
"ASUS F415EA-EK1464 Intel Core i3-1115G4/8 GB/256GB SSD/14""",New,Asus,F415EA,Intel Core i3,8,256,,14,No,457.07
"Lenovo IdeaPad 3 14ITL6 Intel Core i5-1135G7/8GB/512GB SSD/14""",Refurbished,Lenovo,IdeaPad,Intel Core i5,8,512,,14,No,649
"ASUS ROG Zephyrus M16 2023 GU604VY-NM001W Intel Core i9-13900H/32GB/2TB SSD/RTX 4090/16""",New,Asus,ROG,Intel Core i9,32,2000,RTX 4090,16,No,4299
"Asus F515JA-BR1164T Intel Core i3-1005G1/8GB/256GB SSD/15.6""",New,Asus,F515,Intel Core i3,8,256,INTEL,15.6,No,650.36
"Apple Macbook Pro Apple M2/8GB/256GB SSD/GPU Deca Core/13.3"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,8,256,,13.3,No,1619
"MSI Modern 14 B11SB-008ES Intel Core i7-1165G7/16GB/1TB SSD/MX450/14""",Refurbished,MSI,Modern,Intel Core i7,16,1000,MX 450,14,No,1449
"Lenovo IdeaPad Flex 5 13ITL6 Chromebook 13ITL6 Intel Core i5-1135G7/8GB/256GB SSD/13.3"" Táctil",New,Lenovo,IdeaPad,Intel Core i5,8,256,,13.3,Yes,779.01
"ASUS VivoBook 17 F1704VA-AU080W Intel Core i5-1335U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i5,16,512,INTEL,17.3,No,862.19
"Asus Zenbook 14 UX425EA-HM165T Intel Core i7-1165G7/16GB/512GB SSD/14""",Refurbished,Asus,ZenBook,Intel Core i7,16,512,,14,No,950
"Lenovo IdeaPad Gaming 3 15ACH6 AMD Ryzen 5 5600H/16 GB/512 GB SSD/GTX 1650/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,GTX 1650,15.6,No,779.01
"HP Chromebook 11MK G9 Mediatek MT8183/4GB/32GB EMMC/11.6""",New,HP,Chromebook,Mediatek MT8183,4,32,,11.6,No,458
LenovoIdeaPad 310-15IKBFull HD 1920x1080,New,Lenovo,IdeaPad 310-15IKB,Intel Core i7,8GB,1TB HDD,OTHER,15.6,No,732.95
"Lenovo ThinkPad T490 Intel Core i5-8265U/8GB/512GB SSD/14"" Táctil",Refurbished,Lenovo,ThinkPad,Intel Core i5,8,512,,14,Yes,877.63
"Lenovo V15 G3 IAP Intel Core i3-1215U/8GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,512,,15.6,No,465
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/500GB SSD/15.6""",New,Alurin,Flex Advance,AMD Ryzen 5,8,500,,15.6,No,459
"ASUS VivoBook 15 F1502ZA-EJ1119W Intel Core i7-1255U/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i7,8,512,,15.6,No,635.01
"Razer Blade 14 165Hz AMD Ryzen 9 6900HX/16GB/1TB SSD/RTX 3080Ti/14""",New,Razer,Blade,AMD Ryzen 9,16,1000,RTX 3080,14,No,4105.45
"Medion Erazer Major X10 Intel Core i7-12700H/16GB/1TB SSD/Intel Arc A730M/16""",New,Medion,Erazer,Intel Core i7,16,1000,A 730M,16,No,1699
"Microsoft Surface Pro 7+ Intel Core i5-1135G7/8GB/128GB SSD/12.3"" Táctil Platino",Refurbished,Microsoft,Surface Pro,Intel Core i5,8,128,,12.3,Yes,1009.99
"Apple MacBook Pro Intel Core i5 2.4GHz/8GB/512GB SSD/13.3"" Gris Espacial",Refurbished,Apple,MacBook Pro,Intel Core i5,8,512,,13.3,No,804.46
Dell Laptop,New,Dell,Gaming,Intel Core i5,8,256,NVDIA,15.6,No,1518
HPOmen 17-an006nvIPS Panel Full HD 1920x1080,New,HP,Omen 17-an006nv,Intel Core i7,12GB,1TB HDD,OTHER,17.3,No,1817.93
Asus Laptop,New,Asus,Notebook,Intel Core i3,6,256,NVDIA,15.6,No,733
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i7,16GB,256GB SSD +  2TB HDD,AMD,15.6,No,1214.45
"Lenovo IdeaPad Flex 5 14ALC05 AMD Ryzen 7 5700U/8GB/512GB SSD/14"" Táctil",Refurbished,Lenovo,IdeaPad,AMD Ryzen 7,8,512,,14,Yes,799
"Lenovo Legion 5 Pro 16IAH7H Intel Core i7-12700H/16GB/1TB SSD/RTX3060/16""",Refurbished,Lenovo,Legion,Intel Core i7,16,1000,RTX 3060,16,No,2326.78
HPProBook 450Full HD 1920x1080,New,HP,ProBook 450,Intel Core i7,8GB,1TB HDD,OTHER,15.6,No,963
"Microsoft Surface GO 3 Intel Pentium Gold 6500Y/8GB/128GB SSD/10.5"" Táctil",New,Microsoft,Surface Go,Intel Pentium,8,128,,10.5,Yes,599.01
"HP Pavilion Aero 13-be1006ns AMD Ryzen 7 5825U/16GB/512GB SSD/13.3""",Refurbished,HP,Pavilion,AMD Ryzen 7,16,512,,13.3,No,663.69
"MSI GL75 Leopard 10SFK-060XES Intel Core i7-10750H/16GB/1TB SSD/RTX 2070/17.3""",Refurbished,MSI,Leopard,Intel Core i7,16,1000,RTX 2070,17.3,No,958.04
"Acer ConceptD 3 Pro CN316-73P-77Y4 Intel Core i7-11800H/16 GB/1TB SSD/T1200/16""",New,Acer,ConceptD,Intel Core i7,16,1000,T 1200,16,No,1471.61
AsusZenBook UX430UAFull HD 1920x1080,New,Asus,ZenBook UX430UA,Intel Core i7,8GB,256GB SSD,INTEL,14,No,1175.93
DellLatitude 54801366x768,New,Dell,Latitude 5480,Intel Core i5,8GB,256GB SSD,INTEL,14,No,1205.5797
"MSI Stealth 15M A11SDK-056XES Intel Core i7-1185G7/16GB/1TB SSD/GTX 1660 Ti/15.6""",Refurbished,MSI,Stealth,Intel Core i7,16,1000,GTX 1660,15.6,No,825.64
HPZBook StudioFull HD 1920x1080,New,HP,ZBook Studio,Intel Core i7,8GB,256GB SSD,OTHER,15.6,No,2031.93
"Apple MacBook Air Intel Core i5/16GB/512GB SSD/13.3"" Gris Espacial",Refurbished,Apple,MacBook Air,Intel Core i5,16,512,,13.3,No,1498
AcerSwift SF114-31-P5HY1366x768,New,Acer,Swift SF114-31-P5HY,Intel Pentium,4GB,128GB Flash Storage,INTEL,14,No,373.43
"ASUS BR1100FKA-BP1185XA Intel Celeron N4500/4GB/128GB SSD/11.6"" Táctil",New,Asus,BR,Intel Celeron,4,128,,11.6,Yes,495.33
"Lenovo ThinkBook 14s Yoga Intel Core i5-1135G7/8GB/256GB SSD/14"" Táctil",Refurbished,Lenovo,ThinkBook,Intel Core i5,8,256,,14,Yes,794.99
MSIGE73VR 7REFull HD 1920x1080,New,MSI,GE73VR 7RE,Intel Core i7,16GB,256GB SSD +  1TB HDD,OTHER,17.3,No,2022.3
"MSI GS66 Stealth 10UG-480ES Intel Core i9-10980HK/64GB/2TB SSD/RTX 3070/15.6""",Refurbished,MSI,Stealth,Intel Core i9,64,2000,RTX 3070,15.6,No,2679.88
"Lenovo V15 IGL Intel Celeron N4020/8GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Celeron,8,256,,15.6,No,349
"HP EliteBook x360 1030 G3 Intel Core i5-8250U/8GB/256GB SSD/13.3"" Táctil",Refurbished,HP,EliteBook,Intel Core i5,8,256,,13.3,Yes,620
AsusX553SA-XX031T (N3050/4GB/500GB/W10)1366x768,New,Asus,X553SA-XX031T (N3050/4GB/500GB/W10),Intel Celeron,4GB,500GB HDD,INTEL,15.6,No,394.83
ToshibaTecra Z40-C-12XIPS Panel Full HD 1920x1080,New,Toshiba,Tecra Z40-C-12X,Intel Core i5,4GB,128GB SSD,INTEL,14,No,1182.35
"Acer Predator Triton 300 SE PT314-52s-76F0 Intel Core i7-12700H/16GB/512GB SSD/RTX 3060/14""",New,Acer,Predator,Intel Core i7,16,512,RTX 3060,14,No,1739
"LG Gram 14ZB90Q Intel Core i5-1240P/16GB/512GB SSD/14""",New,LG,Gram,Intel Core i5,16,512,,14,No,1149
DellAlienware 17IPS Panel Full HD 1920x1080,New,Dell,Alienware 17,Intel Core i7,16GB,256GB SSD +  1TB HDD,OTHER,17.3,No,2628.2838
"Lenovo ThinkPad E15 Gen 4 Intel Core i5-1235U/8GB/256GB SSD/15.6""",New,Lenovo,ThinkPad,Intel Core i5,8,256,,15.6,No,1135
"Gigabyte AERO 15 XB-7ES1130SH Intel Core i7-10750H/16GB/512GB SSD/RTX 2070 SUPER/15.6""",Refurbished,Gigabyte,Aero,Intel Core i7,16,512,RTX 2070,15.6,No,1263.99
"HP 15S-FQ4104NS Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i5,8,256,,15.6,No,494.81
"MSI Creator M16 A12UD-232ES Intel Core i7-12700H/16GB/1TB SSD/RTX 3050Ti/16""",Refurbished,MSI,Creator,Intel Core i7,16,1000,RTX 3050,16,No,1749
"HP ProBook 450 G7 Intel Core i5-10210U/8GB/256GB SSD/15.6""",Refurbished,HP,ProBook,Intel Core i5,8,256,,15.6,No,1031.89
Acer Laptop,New,Acer,Notebook,Intel Core i7,8,256,NVDIA,15,No,1208
"MSI Pulse GL66 12UEK-034ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/15.6""",New,MSI,Pulse,Intel Core i7,32,1000,RTX 3060,15.6,No,2217.07
"Acer ConceptD 3 Ezel Pro CC314-73P-7407 Intel Core i7-11800H/16GB/1TB SSD/T1200/14"" Táctil",New,Acer,ConceptD,Intel Core i7,16,1000,T 1200,14,Yes,2516.82
"HP OMEN 16-b0045ns Intel Core i7-11800H/16GB/1TB SSD/RTX 3060/16.1""",Refurbished,HP,Omen,Intel Core i7,16,1000,RTX 3060,16.1,No,1499
HPOmen 17-w212nvIPS Panel Full HD 1920x1080,New,HP,Omen 17-w212nv,Intel Core i7,8GB,128GB SSD +  1TB HDD,OTHER,17.3,No,1274.37
AsusVivoBook E121366x768,New,Asus,VivoBook E12,Intel Celeron,2GB,32GB Flash Storage,INTEL,11.6,No,262.15000000000003
HP15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)Full HD 1920x1080,New,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Intel Core i7,8GB,256GB SSD,INTEL,15.6,No,705.13
"Lenovo ThinkPad E15 Gen 4 AMD Ryzen 5 5625U/8GB/256GB SSD/15.6""",New,Lenovo,ThinkPad,AMD Ryzen 5,8,256,,15.6,No,1002.59
"Asus ROG G513QM-HF246 AMD Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6""",Refurbished,Asus,ROG,AMD Ryzen 7,16,1000,RTX 3060,15.6,No,1183.68
"Lenovo ThinkPad P1 Gen 5 Intel Core i7-12700H/16GB/1TB SSD/RTX A2000/16""",New,Lenovo,ThinkPad,Intel Core i7,16,1000,RTX A2000,16,No,4138.67
"MSI Modern 14 C12M-077XES Intel Core i7-1255U/16GB/1TB SSD/14""",New,MSI,Modern,Intel Core i7,16,1000,,14,No,999
"ASUS ExpertBook P1512CEA-EJ0086X Intel Core i5-1135G7/16GB/512GB SSD/15.6""",Refurbished,Asus,ExpertBook,Intel Core i5,16,512,,15.6,No,729
"Dell Vostro 5301 Intel Core i5-1135G7/8GB/256GB SSD/13.3""",Refurbished,Dell,Vostro,Intel Core i5,8,256,,13.3,No,420.74
"ASUS TUF Gaming F15 FX506HE-HN012 Intel Core i5-11400H/16 GB/512GB SSD/RTX 3050Ti/15.6""",Refurbished,Asus,TUF,Intel Core i5,16,512,RTX 3050,15.6,No,949
"ASUS ROG Zephyrus G15 GA503RS-HB054W AMD Ryzen 9 6900HS/32GB/1TB SSD/RTX 3080/15.6""",Refurbished,Asus,ROG,AMD Ryzen 9,32,1000,RTX 3080,15.6,No,1888.94
"Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Negro",New,Lenovo,V15,Intel Core i3,8,256,,15.6,No,495.99
"Apple MacBook Pro Intel Core i7/16GB/512GB SSD/Radeon Pro 560X/15.4"" Plata",Refurbished,Apple,MacBook Pro,Intel Core i7,16,512,Radeon Pro RX 560X,15.4,No,977.08
"LG Gram 14Z90P Intel Evo Core i5-1135G7/8GB/512GB SSD/14""",Refurbished,LG,Gram,Intel Evo Core i5,8,512,,14,No,701.28
ASUS ROG Strix G15 G513IC-HN004W AMD Ryzen 7 4800H/16GB/512GB SSD/RTX 3050/15.6,Refurbished,Asus,ROG,AMD Ryzen 7,16,512,RTX 3050,15.6,No,949
"Razer Blade 17 QHD 240Hz Intel Core i7-12800H/16 GB/1TB SSD/RTX 3060/17.3""",New,Razer,Blade,Intel Core i7,16,1000,RTX 3060,17.3,No,3099.98
"ASUS TUF Dash F15 FX517ZM-HN002 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,Asus,TUF,Intel Core i7,16,512,RTX 3060,15.6,No,1699
"HP 15S-eq2126ns AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,256,,15.6,No,529
MSIGT72VR DominatorFull HD 1920x1080,New,MSI,GT72VR Dominator,Intel Core i7,16GB,256GB SSD +  1TB HDD,OTHER,17.3,No,2673.9300000000003
Dell Laptop,New,Dell,Notebook,Intel Core i7,16,256,AMD,15.6,No,1501
DellXPS 13IPS Panel 4K Ultra HD / Touchscreen 3840x2160,New,Dell,XPS 13,Intel Core i7,16GB,1TB SSD,INTEL,13.3,Yes,2673.9300000000003
"Lenovo V15 G2 ITL Intel Core i7-1165G7/16 GB/512GB SSD/15.6""",Refurbished,Lenovo,V15,Intel Core i7,16,512,,15.6,No,786.14
"Acer Nitro 5 AN515-58-730H Intel Core i7-12700H/16GB/1TB SSD/RTX 3060/15.6""",Refurbished,Acer,Nitro,Intel Core i7,16,1000,RTX 3060,15.6,No,1599
"ASUS TUF Gaming F15 FX506LHB-HN324 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6""",New,Asus,TUF,Intel Core i5,16,512,GTX 1650,15.6,No,999
"HP 15S-EQ2102NS AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Ryzen 5,8,256,,15.6,No,594.22
DellLatitude 3580Full HD 1920x1080,New,Dell,Latitude 3580,Intel Core i5,8GB,1TB HDD,INTEL,15.6,No,1021.85
"Apple MacBook Pro Apple M1 Pro/32GB/1TB SSD/14.2"" Gris Espacial",Refurbished,Apple,MacBook Pro,Apple M1 Pro,32,1000,INTEL,14.2,No,2500.01
"HP 15S-FQ5013NS Intel Core i5-1235U/8GB/512GB SSD/15.6"" + Microsoft 365 Personal 12 Meses Descarga Digital",New,HP,15S,Intel Core i5,8,512,INTEL,15.6,No,760.99
LenovoYoga 500-14ISKIPS Panel Full HD / Touchscreen 1920x1080,New,Lenovo,Yoga 500-14ISK,Intel Core i7,4GB,128GB SSD,INTEL,14,Yes,682.6600000000001
"Lenovo ThinkPad L380 Intel Core i3-8130U/8GB/256GB SSD/13.3""",Refurbished,Lenovo,ThinkPad,Intel Core i3,8,256,,13.3,No,419
"MSI Thin GF63 12VE-040ES Intel Core i5-12450H/16GB/512GB SSD/RTX 4050/15.6""",New,MSI,Thin,Intel Core i5,16,512,RTX 4050,15.6,No,1199
MSIGE63VR 7REIPS Panel Full HD 1920x1080,New,MSI,GE63VR 7RE,Intel Core i7,16GB,256GB SSD +  1TB HDD,OTHER,15.6,No,1924.93
"Acer Extensa 15 EX215-22-R7D2 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",New,Acer,Extensa,AMD Ryzen 3,8,256,,15.6,No,479
AcerSwift 7IPS Panel Full HD 1920x1080,New,Acer,Swift 7,Intel Core i5,8GB,256GB SSD,INTEL,13.3,No,1058.23
"Apple MacBook Intel Core i5/512GB/12"" Gris Espacial",Refurbished,Apple,Macbook,Intel Core i5,8,512,INTEL,12,No,684.65
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i5,4GB,256GB SSD,AMD,15.6,No,801.4300000000001
"MSI Creator M16 B13VE-680XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,16,1000,RTX 4050,16,No,1749
"HP 15S-EQ2130NS AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 5,8,512,,15.6,No,652.92
"Gigabyte AORUS 17G KD-72ES325SD Intel Core i7-11800H/16GB/512GB SSD/RTX 3060/17.3""",New,Gigabyte,Aorus,Intel Core i7,16,512,RTX 3060,17.3,No,1552.82
LenovoThinkPad L4701366x768,New,Lenovo,ThinkPad L470,Intel Core i5,4GB,500GB HDD,INTEL,14,No,1059.3
LenovoYoga 520-14IKBIPS Panel Full HD 1920x1080,New,Lenovo,Yoga 520-14IKB,Intel Core i5,8GB,256GB SSD,INTEL,14,No,961.93
"ASUS ROG Strix G15 G513RS-HQ018W AMD Ryzen 9 6800HX/32GB/1TB SSD/RTX3080/15.6""",Refurbished,Asus,ROG,AMD Ryzen 9,32,1000,RTX 3080,15.6,No,3099
DellAlienware 17IPS Panel Full HD 1920x1080,New,Dell,Alienware 17,Intel Core i7,32GB,1TB SSD +  1TB HDD,OTHER,17.3,No,3840.016000000001
"MSI Creator M16 B13VE-682XES Intel Core i7-13700H/32GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,32,1000,RTX 4050,16,No,1899.01
"Apple MacBook Pro Intel Core i7 2.6GHz/16GB/256GB SSD/Radeon Pro 555X/15.4"" Plata",Refurbished,Apple,MacBook Pro,Intel Core i7,16,256,,15.4,No,1118.25
DellInspiron 5570Full HD 1920x1080,New,Dell,Inspiron 5570,Intel Core i5,4GB,1TB HDD,AMD,15.6,No,830.32
"HP ChromeBook 14b-na0005ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14""",New,HP,Chromebook,AMD Athlon,4,64,,14,No,399
LenovoYoga 920-13IKBIPS Panel Full HD / Touchscreen 1920x1080,New,Lenovo,Yoga 920-13IKB,Intel Core i7,8GB,512GB SSD,INTEL,13.9,Yes,1978.43
"ASUS VivoBook 13 Slate OLED T3300KA-LQ069W Intel Pentium Silver N6000/8 GB/128GB SSD/13.3"" Táctil",New,Asus,VivoBook,Intel Pentium,8,128,INTEL,13.3,Yes,749.99
LenovoThinkPad T460sFull HD 1920x1080,New,Lenovo,ThinkPad T460s,Intel Core i7,12GB,512GB SSD,INTEL,14,No,2459.9300000000003
HPZBook 15uFull HD 1920x1080,New,HP,ZBook 15u,Intel Core i7,8GB,256GB SSD,AMD,15.6,No,1599.65
"MSI Prestige 16 A12UD-218ES Intel Core i7-1280P/32GB/1TB SSD/RTX 3050Ti/16""",New,MSI,Prestige,Intel Core i7,32,1000,RTX 3050,16,No,1929.01
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/512GB SSD/16.2"" Plata",New,Apple,MacBook Pro,Apple M2 Pro,16,512,,16.2,No,2789
DellInspiron 35521366x768,New,Dell,Inspiron 3552,Intel Celeron,2GB,500GB HDD,INTEL,15.6,No,405.53
"HP 250 G9 Intel Celeron N4500/8 GB/256GB SSD/15.6""",New,HP,250,Intel Celeron,8,256,,15.6,No,399
"ASUS ZenBook 14 UM3402YA-KP286 AMD Ryzen 5 5625U/8GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 5,8,512,,14,No,755.48
"HP Victus 16-D1024NS Intel Core i7-12700H/16GB/512GB SSD/RTX 3050 Ti/16.1""",New,HP,Victus,Intel Core i7,16,512,RTX 3050,16.1,No,1220.78
"Lenovo ThinkBook 14s Yoga G2 Intel Core i7-1255U/16GB/512GB SSD/14"" Táctil",New,Lenovo,ThinkBook,Intel Core i7,16,512,,14,Yes,1473.83
"ASUS ZenBook 14 OLED UM3402YA-KM512WS AMD Ryzen 7 7730U/16GB/512GB SSD/14""",New,Asus,ZenBook,AMD Ryzen 7,16,512,INTEL,14,No,1149
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U/8GB/256GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 3,8,256,,15.6,No,391
"Lenovo Legion 5 15IAH7H Intel Core i7-12700H/16GB/512GB SSD/RTX3060/15.6""",New,Lenovo,Legion,Intel Core i7,16,512,RTX 3060,15.6,No,1599
"HP 15S-fq5055ns Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,HP,15S,Intel Core i7,16,512,,15.6,No,899.01
"Razer Blade 17 FullHD 360Hz Intel Core i7-12800H/16GB/1TB SSD/RTX 3070Ti/17.3""",New,Razer,Blade,Intel Core i7,16,1000,RTX 3070,17.3,No,3500
"HP ProBook 430 G7 Intel Core i5-10210U/8GB/256GB SSD/13.3""",Refurbished,HP,ProBook,Intel Core i5,8,256,,13.3,No,749.99
LenovoThinkPad YogaIPS Panel Full HD / Touchscreen 1920x1080,New,Lenovo,ThinkPad Yoga,Intel Core i7,8GB,512GB SSD,INTEL,13.3,Yes,2166.75
LenovoThinkpad E470IPS Panel Full HD 1920x1080,New,Lenovo,Thinkpad E470,Intel Core i7,8GB,256GB SSD,OTHER,14,No,919.13
"Acer Nitro 5 AN515-58-7365 Intel Core i7-12700H/16GB/512GB SSD/RTX 3050Ti/15.6""",Refurbished,Acer,Nitro,Intel Core i7,16,512,RTX 3050,15.6,No,1299
MSI Modern 14 B10MW-614XPT Intel Core i7-10510U/16GB/512GB SSD/14'' (PT),Refurbished,MSI,Modern,Intel Core i7,16,512,INTEL,14,No,649
"MSI Raider GE76 12UHS-612ES Intel Core i7-12700H/32GB/1TB SSD/RTX 3080Ti/17.3""",Refurbished,MSI,Raider,Intel Core i7,32,1000,RTX 3080,17.3,No,3699
AsusZenBook UX310UA-WB71Full HD 1920x1080,New,Asus,ZenBook UX310UA-WB71,Intel Core i7,8GB,256GB SSD,INTEL,13.3,No,1369.6
"Acer Swift 3 SF313-53 Intel Evo Core i7-1165G7/16GB/1TB SSD/13.5""",New,Acer,Swift,Intel Evo Core i7,16,1000,,13.5,No,1347.18
"ASUS P1411CEA-BV688X Intel Core i5-1135G7/8GB/256GB SSD/14""",Refurbished,Asus,G7,Intel Core i5,8,256,,14,No,569
"HP EliteBook 840 G8 Intel Core i7-1165G7/16GB/512GB SSD/14""",Refurbished,HP,EliteBook,Intel Core i7,16,512,,14,No,1689.06
Toshiba Laptop,New,Toshiba,Notebook,Intel Core i5,8,256,INTEL,14,No,1950
"Apple MacBook Air Intel Core i5/8GB/256GB SSD/13.3"" Plata",Refurbished,Apple,MacBook Air,Intel Core i5,8,256,,13.3,No,765.33
"HP Pavilion Gaming 16-A0029NS Intel Core i7-10750H/16GB/512GB SSD/RTX 2060/16.1""",Refurbished,HP,Pavilion,Intel Core i7,16,512,RTX 2060,16.1,No,711.94
MSI GP76 Leopard 10UG-055XPT Intel Core i7-10870H/16GB/1TB SSD/RTX 3070/17.3'' (PT),Refurbished,MSI,Leopard,Intel Core i7,16,1000,RTX 3070,17.3,No,1599
"Alurin Flex Advance Intel Core i5-1155G7/16GB/500GB SSD/14"" + Windows 11 Home",New,Alurin,Flex Advance,Intel Core i5,16,500,,14,No,629.01
"Portátil Alurin Flex Advance Intel Core I5-1155G7 14""",Refurbished,Alurin,Flex Advance,Intel Core i5,8,0,,14,No,368.7
"Medion Erazer Defender P40 Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/17.3""",New,Medion,Erazer,Intel Core i7,16,1000,RTX 4060,17.3,No,1629
HPEliteBook x360Full HD / Touchscreen 1920x1080,New,HP,EliteBook x360,Intel Core i5,4GB,256GB SSD,INTEL,13.3,Yes,1819
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/16""",New,Samsung,Galaxy Book,Intel Evo Core i7,16,512,,16,No,1949.99
AcerChromebook C738T-C2EJIPS Panel Touchscreen 1366x768,New,Acer,Chromebook C738T-C2EJ,Intel Celeron,4GB,32GB Flash Storage,INTEL,11.6,Yes,416.23
SamsungChromebook PlusIPS Panel Touchscreen 2400x1600,New,Samsung,Chromebook Plus,,4GB,32GB Flash Storage,OTHER,12.3,Yes,705.13
Lenovo Laptop,New,Lenovo,Notebook,Intel Core i7,8,256,INTEL,15.6,No,1118
"ASUS ExpertBook B1 B1502CBA-EJ0425 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,16,512,,15.6,No,695
"Acer Chromebook 314 CB314-1HT-C2D1 Intel Celeron N4020/8GB/128GB eMMC/14"" Táctil",Refurbished,Acer,Chromebook,Intel Celeron,8,128,INTEL,14,Yes,449
"Dell Latitude E5440 Intel Core i5-4310U/8GB/128GB SSD/14""",Refurbished,Dell,Latitude,Intel Core i5,8,128,INTEL,14,No,379
DellInspiron 7577IPS Panel 4K Ultra HD 3840x2160,New,Dell,Inspiron 7577,Intel Core i7,16GB,512GB SSD +  1TB HDD,OTHER,15.6,No,1974.15
DellInspiron 5577Full HD 1920x1080,New,Dell,Inspiron 5577,Intel Core i7,16GB,512GB SSD,OTHER,15.6,No,1336.7082
"Acer Extensa 15 EX215-54 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Acer,Extensa,Intel Core i3,8,256,,15.6,No,413.99
"Gigabyte AERO 15 OLED XD-73ES644SP Intel Core i7-11800H/32GB/1TB SSD/RTX 3070/15.6""",Refurbished,Gigabyte,Aero,Intel Core i7,32,1000,RTX 3070,15.6,No,1557.69
DellLatitude E7470Full HD 1920x1080,New,Dell,Latitude E7470,Intel Core i5,8GB,256GB SSD,INTEL,14,No,1315.03
"Dell Latitude 3400 Intel Core i5-8265U/8GB/256GB SSD/14""",Refurbished,Dell,Latitude,Intel Core i5,8,256,,14,No,579.2
"Asus TUF Gaming FX505DV-AL116 AMD Ryzen 7 3750H/16GB/1TB SSD/RTX 2060/15.6""",Refurbished,Asus,TUF,AMD Ryzen 7,16,1000,RTX 2060,15.6,No,853.69
LenovoThinkpad T460pFull HD 1920x1080,New,Lenovo,Thinkpad T460p,Intel Core i5,8GB,256GB SSD,INTEL,14,No,1274.37
LenovoIdeaPad 320-15IKBNFull HD 1920x1080,New,Lenovo,IdeaPad 320-15IKBN,Intel Core i5,8GB,2TB HDD,INTEL,15.6,No,555.33
LenovoIdeaPad Y700-15ACZIPS Panel Full HD 1920x1080,New,Lenovo,IdeaPad Y700-15ACZ,AMD FX,16GB,512GB SSD +  1TB HDD,AMD,15.6,No,1068.93
AsusRog GL753VE-DS74Full HD 1920x1080,New,Asus,Rog GL753VE-DS74,Intel Core i7,16GB,256GB SSD +  1TB HDD,OTHER,17.3,No,1871.43
DellInspiron 3576Full HD 1920x1080,New,Dell,Inspiron 3576,Intel Core i5,8GB,256GB SSD,AMD,15.6,No,724.7645000000001
"Gigabyte U4 UD-50ES823SD Intel Core i5-1155G7/16GB/512GB SSD/14""",Refurbished,Gigabyte,U4,Intel Core i5,16,512,,14,No,799
HP Laptop,New,HP,Notebook,Intel Core i5,4,256,INTEL,15.6,No,1066
AcerA715-71G-59DH (i5-7300HQ/8GB/1TB/GeForceFull HD 1920x1080,New,Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Intel Core i5,8GB,1TB HDD,OTHER,15.6,No,758.63
HP15-bs024nv (i5-7200U/8GB/128GB/W10)1366x768,New,HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Intel Core i5,8GB,128GB SSD,INTEL,15.6,No,630.23
"MSI GP75 Leopard 9SF-1037XES Intel Core i7-9750H/16GB/1TB SSD/RTX 2070/17.3""",Refurbished,MSI,Leopard,Intel Core i7,16,1000,RTX 2070,17.3,No,1092.48
"Apple Macbook Air 2023 Apple M2/8GB/256GB SSD/GPU Deca Core/15.3"" Blanco Estrella",New,Apple,MacBook Air,Apple M2,8,256,,15.3,No,1599
